cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
1958,Cnpy1,0.5093838,3.7935832,29666.098,3.4095554,156.80084,202.43849,217.55154,0.12602535
1959,Cnpy1,11.022146,45.6804,29855.875,43.340733,157.76324,202.73244,217.93233,0.12602535
1960,Cnpy1,1.4885718,1.0229836,30042.791,1.5520948,158.78809,202.31224,217.474,0.12602535
1961,Cnpy1,2.9780593,1.7190162,30355.205,2.8308089,160.43361,202.23242,217.43898,0.12602535
1962,Cnpy1,6.1566143,1.528169,31120.605,4.1560545,164.46687,202.02356,217.33554,0.12602535
1963,Cnpy1,2.413581,1.3293486,30243.344,2.2410195,159.84454,202.25978,217.45012,0.12602535
1964,Cnpy1,2.850559,1.3912119,30342.822,2.4971151,160.36867,202.23312,217.43742,0.12602535
1965,Cnpy1,10.281249,2.4207442,32072.201,6.8251276,169.48064,201.78035,217.22075,0.12602535
1966,Cnpy1,1.7709233,4.1764536,29939.223,4.3204226,158.23958,202.36617,217.5184,0.12602535
1967,Cnpy1,0.0,3.8276236,29546.371,3.1993139,156.16998,202.47197,217.56815,0.12602535
1968,Cnpy1,0.0,3.399994,29569.125,2.8418987,156.29025,202.4622,217.5609,0.12602535
1969,Cnpy1,0.55976903,4.0515747,29664.02,3.648801,156.78966,202.44116,217.55432,0.12602535
1970,Cnpy1,0.0,3.2618492,29576.477,2.7264354,156.3291,202.45905,217.5586,0.12602535
1971,Cnpy1,0.0,2.3252003,29626.373,1.9435599,156.59283,202.4376,217.54276,0.12602535
1972,Cnpy1,3.4122596,1.4889225,30469.99,2.8414364,161.03864,202.19922,217.4214,0.12602535
1973,Cnpy1,2.3087296,0.7106952,30251.662,1.6747485,159.88892,202.25232,217.44284,0.12602535
1974,Cnpy1,1.9565166,0.79390305,30164.635,1.5795488,159.43028,202.2769,217.45538,0.12602535
1975,Cnpy1,2.0679665,0.74883854,30193.148,1.5940137,159.58057,202.26869,217.4511,0.12602535
1976,Cnpy1,0.62396723,0.32205522,29878.463,0.56141263,157.92287,202.35175,217.48927,0.12602535
1977,Cnpy1,1.2437502,1.2141713,29975.232,1.5973324,158.43195,202.33234,217.48492,0.12602535
1978,Cnpy1,0.2957447,0.31658348,29802.402,0.4031439,157.52211,202.37268,217.49944,0.12602535
1979,Cnpy1,0.0,0.6956192,29713.318,0.5814601,157.0524,202.40038,217.51524,0.12602535
1980,Cnpy1,1.1221236,2.755912,29864.07,2.8291886,157.84486,202.37538,217.51479,0.12602535
1981,Cnpy1,0.69866824,1.4863583,29833.443,1.5696613,157.68463,202.37358,217.50665,0.12602535
1982,Cnpy1,0.42891222,1.8480971,29751.312,1.7457017,157.25156,202.39919,217.52121,0.12602535
1983,Cnpy1,0.0,0.27188846,29736.191,0.22726993,157.1733,202.3906,217.50798,0.12602535
1984,Cnpy1,0.6738903,1.8921897,29805.943,1.8972951,157.53937,202.38446,217.51424,0.12602535
1985,Cnpy1,0.0,0.0,29750.857,0.0,157.25081,202.3843,217.50331,0.12602535
1986,Cnpy1,0.0,0.7453988,29710.652,0.6230698,157.0383,202.40154,217.51607,0.12602535
1987,Cnpy1,0.4574919,1.5713052,29772.762,1.5277207,157.36482,202.39102,217.51564,0.12602535
1988,Cnpy1,0.34311894,1.403124,29755.156,1.3335707,157.2722,202.39453,217.5164,0.12602535
1989,Cnpy1,0.5062891,1.9753846,29762.5,1.8883412,157.3104,202.39711,217.52095,0.12602535
1990,Cnpy1,1.294804,2.9010944,29896.557,3.0314038,158.0159,202.36761,217.51181,0.12602535
1991,Cnpy1,0.0,2.6503303,29609.043,2.2153146,156.50124,202.44505,217.54826,0.12602535
1992,Cnpy1,2.1445909,2.7380707,30104.062,3.2928915,159.1094,202.30928,217.48238,0.12602535
1993,Cnpy1,1.8792675,5.321951,29903.016,5.3286886,158.04778,202.3854,217.53435,0.12602535
1994,Cnpy1,2.214714,4.7745295,30010.799,5.028126,158.61618,202.35135,217.51459,0.12602535
1995,Cnpy1,2.820382,0.70605737,30372.227,1.9101537,160.52419,202.2193,217.42662,0.12602535
1996,Cnpy1,2.3362982,0.37469542,30276.0,1.4067261,160.01746,202.2428,217.4362,0.12602535
1997,Cnpy1,3.6908402,1.5513195,30532.45,3.0238273,161.3677,202.18274,217.41368,0.12602535
1998,Cnpy1,0.4574919,1.6177301,29770.277,1.5665269,157.35168,202.39207,217.51643,0.12602535
1999,Cnpy1,2.1690364,8.685489,29790.28,8.275884,157.45079,202.44366,217.58206,0.12602535
2000,Cnpy1,0.0,0.3649896,29731.162,0.3050922,157.14671,202.39273,217.50955,0.12602535
2001,Cnpy1,5.3709135,1.0948548,30956.121,3.4269364,163.60054,202.06413,217.35286,0.12602535
2002,Cnpy1,2.9652016,10.166444,29896.412,9.886618,158.00868,202.42636,217.58208,0.12602535
2003,Cnpy1,0.797231,4.0360956,29719.967,3.7471104,157.08446,202.42555,217.5466,0.12602535
2004,Cnpy1,7.9850426,14.703001,30834.535,16.026958,162.94775,202.2075,217.50111,0.12602535
2005,Cnpy1,3.2699451,9.66362,29994.604,9.608999,158.52649,202.39528,217.56403,0.12602535
2006,Cnpy1,0.84804434,2.1835787,29830.887,2.2224257,157.67053,202.37993,217.51372,0.12602535
2007,Cnpy1,0.0,3.3978534,29569.24,2.8401093,156.29086,202.46216,217.56088,0.12602535
2008,Cnpy1,3.6240802,9.402356,30091.576,9.556368,159.03769,202.36658,217.54851,0.12602535
2009,Cnpy1,2.5400147,6.752565,29980.48,6.833907,158.45467,202.37564,217.53775,0.12602535
2010,Cnpy1,3.3216455,7.172854,30140.904,7.5510783,159.29958,202.33504,217.52034,0.12602535
2011,Cnpy1,6.3538656,22.443573,30028.418,21.735023,158.69328,202.48926,217.68306,0.12602535
2012,Cnpy1,1.4108335,11.762087,29450.672,10.49191,155.65869,202.5627,217.65782,0.12602535
2013,Cnpy1,3.0224147,6.973038,30081.516,7.2440076,158.98683,202.34967,217.52637,0.12602535
2014,Cnpy1,7.688155,29.100449,29981.951,27.923536,158.44252,202.55821,217.75363,0.12602535
2015,Cnpy1,29.565037,8.989604,35990.742,21.272768,190.11752,201.01358,216.8213,0.12602535
2016,Cnpy1,0.3972992,0.7044397,29805.145,0.77491635,157.53621,202.37508,217.5029,0.12602535
2017,Cnpy1,2.4707937,12.544866,29654.195,11.642941,156.73033,202.5125,217.63777,0.12602535
2018,Cnpy1,1.4128157,5.349999,29792.822,5.133697,157.46716,202.41602,217.54947,0.12602535
2019,Cnpy1,1.5242718,1.0579767,30049.264,1.5980562,158.82216,202.31073,217.4735,0.12602535
2020,Cnpy1,3.9100387,8.215463,30222.793,8.697979,159.73013,202.32106,217.51947,0.12602535
2021,Cnpy1,6.8822045,13.681121,30628.012,14.657257,161.86043,202.255,217.51846,0.12602535
2022,Cnpy1,11.887059,25.289488,31189.129,26.701132,164.80687,202.20743,217.55745,0.12602535
2023,Cnpy1,12.884737,19.873558,31737.318,22.637463,167.7005,202.02472,217.4346,0.12602535
2024,Cnpy1,15.047188,31.07871,31642.297,33.017094,167.1899,202.15382,217.55586,0.12602535
2025,Cnpy1,0.252313,8.543556,29354.281,7.2589393,155.1537,202.56358,217.63985,0.12602535
2026,Cnpy1,0.3904844,1.9155202,29738.781,1.7840599,157.18547,202.4032,217.52356,0.12602535
2027,Cnpy1,4.1374803,26.555296,29295.035,24.132286,154.82552,202.72585,217.82204,0.12602535
2028,Cnpy1,7.548174,43.841454,29147.604,40.17477,154.03305,202.91275,218.01132,0.12602535
2029,Cnpy1,0.22991724,6.294653,29468.33,5.36897,155.75659,202.51363,217.60255,0.12602535
2030,Cnpy1,3.1801958,0.0,30494.762,1.488022,161.17046,202.1799,217.40317,0.12602535
2031,Cnpy1,1.9757717,1.8480983,30112.48,2.4698806,159.15456,202.29979,217.47266,0.12602535
2032,Cnpy1,4.711878,1.5798953,30772.96,3.5247972,162.63498,202.1177,217.38197,0.12602535
2033,Cnpy1,0.52138853,2.0375595,29762.682,1.9473847,157.31128,202.39758,217.5215,0.12602535
2034,Cnpy1,1.0054865,2.0682747,29873.754,2.1997657,157.8965,202.36716,217.50684,0.12602535
2035,Cnpy1,0.52138853,1.6193949,29785.055,1.5978448,157.42953,202.38802,217.51445,0.12602535
2036,Cnpy1,0.0,3.037748,29588.406,2.539128,156.39217,202.45392,217.55481,0.12602535
2037,Cnpy1,5.194964,3.929498,30760.154,5.7152076,162.56541,202.14049,217.40672,0.12602535
2038,Cnpy1,1.4429744,4.2488303,29858.826,4.2273707,157.8159,202.3889,217.52994,0.12602535
2039,Cnpy1,0.0,4.2294774,29525.0,3.535181,156.05702,202.48117,217.57492,0.12602535
2040,Cnpy1,0.5980274,3.9163795,29680.107,3.5537238,156.87454,202.43561,217.55086,0.12602535
2041,Cnpy1,0.0,3.9927833,29537.592,3.337354,156.12358,202.47575,217.57094,0.12602535
2042,Cnpy1,0.0,2.301431,29627.637,1.9236927,156.59952,202.43707,217.54236,0.12602535
2043,Cnpy1,0.0,0.4147173,29728.479,0.34665895,157.13252,202.39389,217.5104,0.12602535
2044,Cnpy1,1.8907446,0.0,30191.328,0.88504744,159.57164,202.26285,217.44383,0.12602535
2045,Cnpy1,1.4968315,0.3368557,30081.238,0.9823608,158.99129,202.29596,217.46204,0.12602535
2046,Cnpy1,1.7185723,0.5279131,30123.006,1.245846,159.21118,202.28607,217.4583,0.12602535
2047,Cnpy1,0.3613607,0.84013975,29789.518,0.87151825,157.45375,202.3805,217.5063,0.12602535
2048,Cnpy1,1.184503,1.6108875,29940.074,1.9012339,158.24635,202.34521,217.49348,0.12602535
2049,Cnpy1,2.3053281,1.0734413,30231.592,1.976432,159.78284,202.26088,217.44917,0.12602535
2050,Cnpy1,0.0,1.8232446,29653.127,1.5240029,156.73425,202.42616,217.5343,0.12602535
2051,Cnpy1,1.2801821,1.7720932,29953.764,2.0807848,158.31834,202.34276,217.4932,0.12602535
2052,Cnpy1,1.0812194,2.929556,29845.234,2.955185,157.74545,202.382,217.519,0.12602535
2053,Cnpy1,0.93035156,2.863332,29813.643,2.8291771,157.57907,202.39018,217.52261,0.12602535
2054,Cnpy1,0.34312978,2.2150779,29711.773,2.0122697,157.04291,202.4131,217.53012,0.12602535
2055,Cnpy1,0.81013924,1.0084485,29885.041,1.2223614,157.95691,202.3555,217.49506,0.12602535
2056,Cnpy1,0.3191905,1.9100353,29722.51,1.7460797,157.09975,202.40764,217.52571,0.12602535
2057,Cnpy1,0.32759884,1.9948009,29719.934,1.8208717,157.08609,202.40904,217.52687,0.12602535
2058,Cnpy1,2.304557,1.8850095,30187.668,2.654572,159.55069,202.27951,217.46295,0.12602535
2059,Cnpy1,0.5389529,1.3922048,29801.297,1.4161627,157.51532,202.3817,217.51006,0.12602535
2060,Cnpy1,0.0,1.3486984,29678.445,1.1273502,156.86807,202.41531,217.52626,0.12602535
2061,Cnpy1,3.4921918,3.2769237,30391.979,4.3737574,160.62598,202.23502,217.44917,0.12602535
2062,Cnpy1,0.29009694,3.0367181,29655.613,2.6741965,156.74628,202.43527,217.54564,0.12602535
2063,Cnpy1,8.450849,34.53427,29867.916,32.82191,157.83684,202.63573,217.82147,0.12602535
2064,Cnpy1,1.6933783,2.8081155,29994.646,3.140272,158.53282,202.33989,217.49774,0.12602535
2065,Cnpy1,3.8879714,3.4272385,30477.34,4.684476,161.07564,202.21303,217.43929,0.12602535
2066,Cnpy1,2.6805842,3.3621955,30196.191,4.06545,159.59427,202.2891,217.47607,0.12602535
2067,Cnpy1,3.2832265,2.4097767,30389.727,3.55104,160.6149,202.2286,217.44109,0.12602535
2068,Cnpy1,2.1998389,0.92675126,30214.623,1.8044463,159.69357,202.26428,217.44998,0.12602535
2069,Cnpy1,0.0,0.0,29750.857,0.0,157.25081,202.3843,217.50331,0.12602535
2070,Cnpy1,2.241985,0.6726262,30238.016,1.6117008,159.81705,202.25574,217.4443,0.12602535
2071,Cnpy1,1.8614022,0.8526352,30139.238,1.584149,159.29642,202.28436,217.4594,0.12602535
2072,Cnpy1,0.67190206,0.3462717,29888.32,0.60409963,157.97478,202.34923,217.48819,0.12602535
2073,Cnpy1,0.44793472,2.4656534,29722.727,2.2708125,157.1004,202.41208,217.53104,0.12602535
2074,Cnpy1,0.8988598,2.3742537,29832.51,2.4056084,157.67891,202.38101,217.51534,0.12602535
2075,Cnpy1,0.7708435,6.1858587,29599.176,5.531577,156.44609,202.47636,217.58374,0.12602535
2076,Cnpy1,7.8143353,13.175143,30877.668,14.669709,163.17639,202.18355,217.48067,0.12602535
2077,Cnpy1,0.8386471,6.310099,29608.266,5.667191,156.49388,202.47485,217.58371,0.12602535
2078,Cnpy1,5.5929775,10.180777,30513.227,11.128091,161.25873,202.25784,217.49983,0.12602535
2079,Cnpy1,3.9361708,3.8920882,30463.451,5.095671,161.00204,202.22054,217.44562,0.12602535
2080,Cnpy1,11.889389,20.51918,31455.525,22.713158,166.21494,202.09769,217.47679,0.12602535
2081,Cnpy1,13.030104,25.329336,31467.21,27.268034,166.27228,202.1416,217.52225,0.12602535
2082,Cnpy1,28.813868,85.12758,31907.389,84.632126,168.53783,202.59767,218.05986,0.12602535
2083,Cnpy1,10.326081,11.343712,31583.826,14.310143,166.89912,201.98026,217.37085,0.12602535
2084,Cnpy1,0.0,8.887939,29278.117,7.4283986,154.7521,202.58762,217.65361,0.12602535
2085,Cnpy1,19.092964,10.841684,33728.203,17.968893,178.19939,201.48714,217.09756,0.12602535
2086,Cnpy1,3.7838144,7.6512346,30223.633,8.167238,159.73505,202.31627,217.5139,0.12602535
2087,Cnpy1,4.8256874,8.140714,30442.71,9.06374,160.88898,202.2605,217.48946,0.12602535
