cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss,cellID,clusters,embedding1,embedding2
111,gene_A,1.6622767,5.4782896,7.520678,8.713513,2.3679173,3.226148,3.3169832,0.062166654,111,0,5.478289416136321,0.2791520455105761
112,gene_A,1.490139,5.1213813,7.210832,8.013932,2.2974706,3.2281005,3.3200006,0.062166654,112,0,5.1213812886998165,0.35894604537813884
113,gene_A,1.6255653,5.3647013,7.4587064,8.528212,2.354407,3.226238,3.3174112,0.062166654,113,0,5.364701037524107,0.5856185743934258
114,gene_A,1.4985119,5.561196,7.196621,8.454808,2.2901692,3.2314277,3.3224504,0.062166654,114,0,5.5611959565600495,0.5736312522776614
115,gene_A,1.3789427,5.458924,6.89315,8.109274,2.2084386,3.2348175,3.3257651,0.062166654,115,0,5.458923976964007,0.5939539251225293
116,gene_A,1.2768623,5.1164308,6.649219,7.5684013,2.1441903,3.2356036,3.3271043,0.062166654,116,0,5.116430529452617,0.4723524131091663
117,gene_A,0.8220143,4.3275604,5.3037753,5.8637834,1.7616858,3.2437632,3.3387475,0.062166654,117,0,4.327560384343682,0.4004512069775245
118,gene_A,0.8647508,5.0528283,5.3546104,6.649122,1.7696575,3.2486951,3.3422322,0.062166654,118,0,5.052828247612208,0.5199100408781806
119,gene_A,1.1684664,5.57012,6.3018355,7.7794237,2.0433095,3.2428203,3.333636,0.062166654,119,0,5.570119841140536,0.5840209329738515
120,gene_A,1.3589664,5.224322,6.8593254,7.8421545,2.2009816,3.2335787,3.3249698,0.062166654,120,0,5.224321633868245,0.5166550291459704
121,gene_A,1.5717247,5.96427,7.3112698,8.994614,2.3138714,3.2326183,3.3227212,0.062166654,121,0,5.964270348920716,0.5872370292168494
122,gene_A,1.5523963,5.5845566,7.3016715,8.588798,2.3151908,3.2300618,3.3209925,0.062166654,122,0,5.584556793018551,0.5304836481769286
123,gene_A,1.8133446,6.892882,7.692894,10.389817,2.3931613,3.2335565,3.3210244,0.062166654,123,0,6.892882049248391,0.5152363412472689
124,gene_A,1.6217939,6.49816,7.3687034,9.612727,2.3223934,3.2355773,3.3244529,0.062166654,124,0,6.498160009881335,0.5013253024024147
125,gene_A,1.7119241,7.1256247,7.4906244,10.404266,2.3445036,3.23821,3.3255343,0.062166654,125,0,7.125624582667811,0.46538821021637644
126,gene_A,1.6188706,6.398663,7.3703117,9.510796,2.3237126,3.2348483,3.3239348,0.062166654,126,0,6.398663213945419,0.2584775056747304
127,gene_A,1.3597964,6.926244,6.718341,9.481622,2.1489215,3.2476838,3.3356688,0.062166654,127,0,6.926243696542473,0.38852645833125943
128,gene_A,1.1028306,6.6633654,5.972963,8.692973,1.9383097,3.2538834,3.3431373,0.062166654,128,0,6.663365511124642,0.40567309610637015
129,gene_A,1.2636504,6.8462486,6.46721,9.204585,2.0804849,3.2503228,3.3384404,0.062166654,129,0,6.846248465990132,0.6122143468342156
130,gene_A,1.2352815,6.069506,6.45685,8.398672,2.0837622,3.2448955,3.33452,0.062166654,130,0,6.069506275741959,0.4743377391359025
131,gene_A,1.3260769,6.5702124,6.658677,9.069026,2.13538,3.2459278,3.3345807,0.062166654,131,0,6.570212335015082,0.6541513816467058
132,gene_A,0.81579775,5.547907,5.133224,7.021902,1.7001023,3.2551315,3.3481827,0.062166654,132,0,5.547906443047837,0.7094875083963942
133,gene_A,1.077162,5.0021067,6.0662103,7.0433297,1.9792153,3.2408226,3.3331187,0.062166654,133,0,5.002106872838632,0.6101376892057464
134,gene_A,1.0636665,4.973702,6.0257583,6.9879036,1.9676639,3.2409637,3.3333874,0.062166654,134,0,4.973702030673095,0.5893827537945249
135,gene_A,1.1475115,4.927922,6.298962,7.118584,2.0475051,3.2382443,3.3303065,0.062166654,135,0,4.927921724691905,0.8060549049284516
136,gene_A,1.0758137,5.447525,6.0154285,7.4683943,1.9607877,3.2444525,3.3359597,0.062166654,136,0,5.447524905317528,0.36204585570574344
137,gene_A,1.3775473,5.573226,6.879672,8.216403,2.2038295,3.2358174,3.326534,0.062166654,137,0,5.57322581865099,0.3698174268450087
138,gene_A,1.6256105,5.351544,7.4597583,8.515623,2.354781,3.2261293,3.3173294,0.062166654,138,0,5.351544103915819,0.5158696658199396
139,gene_A,1.0490874,4.8689504,5.9901495,6.8568826,1.9581764,3.2405176,3.3332114,0.062166654,139,0,4.868950883073229,0.4072382545327861
140,gene_A,1.5065913,5.0068393,7.255585,7.937553,2.3097756,3.2266245,3.3188615,0.062166654,140,0,5.006839400541887,0.1880923472859387
141,gene_A,1.3793118,5.258044,6.911259,7.916683,2.2150068,3.2331343,3.324485,0.062166654,141,0,5.258043991650964,0.23788658709013016
142,gene_A,1.4325913,5.5408235,7.031328,8.299045,2.2458785,3.233589,3.324442,0.062166654,142,0,5.540823545194445,0.06774231793409458
143,gene_A,1.4968225,5.8921266,7.1683517,8.770024,2.2802238,3.2341928,3.324506,0.062166654,143,0,5.892126720144687,0.05210009348406555
144,gene_A,1.3595866,5.922529,6.801933,8.515381,2.1797168,3.2393587,3.329352,0.062166654,144,0,5.922529321581911,0.10619483147907778
145,gene_A,0.9895894,5.4729614,5.7230945,7.313004,1.8744291,3.2475874,3.3395948,0.062166654,145,0,5.472961378896039,0.1539407793000228
146,gene_A,0.98137665,5.420892,5.7016344,7.245866,1.868565,3.247438,3.3395905,0.062166654,146,0,5.420891822688076,0.18555810378343487
147,gene_A,1.0028278,5.704834,5.7383676,7.563357,1.8767331,3.2491744,3.3406997,0.062166654,147,0,5.704834156955581,0.21990937358699808
148,gene_A,1.0516053,5.907489,5.8842807,7.859746,1.9184034,3.2490761,3.3399284,0.062166654,148,0,5.907489046773746,0.25145315959261766
149,gene_A,1.0430964,5.524623,5.9011984,7.4741254,1.9268026,3.24598,3.3375292,0.062166654,149,0,5.524622643776501,0.23224511613196067
150,gene_A,0.82810587,5.1525292,5.221476,6.668255,1.7296596,3.2510493,3.3446603,0.062166654,150,0,5.152529031509358,0.25201656889147633
151,gene_A,0.6905965,5.136228,4.7603583,6.364964,1.5937717,3.25699,3.3510017,0.062166654,151,0,5.136228016443626,0.09237134395233451
152,gene_A,0.8380008,4.4047036,5.3469105,5.971171,1.7735982,3.2438474,3.338604,0.062166654,152,0,4.404703697253401,0.016458061454117393
