gene_name,epoch,loss
Rspo3,39,0.090194084
Rspo3,49,0.10124549
Rspo3,59,0.093005784
Rspo3,69,0.111354694
Rxrg,9,0.23186253
Rxrg,19,0.28514576
Rxrg,29,0.16804874
Rxrg,39,0.1759084
Rxrg,49,0.236209
Rxrg,59,0.21082163
Sema5a,9,0.11869288
Sema5a,19,0.19323798
Sema5a,29,0.12665573
Sema5a,39,0.13351077
Shh,9,0.046841014
Shh,19,0.06823634
Shh,29,0.055754542
Shh,39,0.06546531
Sim1,9,0.104989916
Sim1,19,0.123743646
Sim1,29,0.13775173
Sim1,39,0.108794026
Six3,9,0.14142324
Six3,19,0.12205538
Six3,29,0.109617025
Six3,39,0.09599861
Six3,49,0.084516115
Six3,59,0.071034096
Six3,69,0.06128925
Six3,79,0.079104185
Six3,89,0.09214558
Six3,99,0.05375454
Six3,109,0.05331638
Six3,119,0.07666026
Six3,129,0.054023847
Six3,139,0.054938026
Six6,9,0.14038356
Six6,19,0.1261697
Six6,29,0.13575353
Six6,39,0.15418306
Six6,49,0.122277096
Six6,59,0.13074912
Six6,69,0.10488391
Six6,79,0.1198873
Six6,89,0.104109466
Six6,99,0.17904033
Six6,109,0.1377943
Six6,119,0.13096754
Slit1,9,0.08890702
Slit1,19,0.081308335
Slit1,29,0.09296422
Slit1,39,0.10034381
Slit1,49,0.10631378
Sost,9,0.22911869
Sost,19,0.28211132
Sost,29,0.30412993
Sost,39,0.32189015
Sp8,9,0.083406
Sp8,19,0.106040485
Sp8,29,0.09519772
Sp8,39,0.09668479
Spon1,9,0.11946079
Spon1,19,0.12447618
Spon1,29,0.114996985
Spon1,39,0.12850465
Spon1,49,0.11223096
Spon1,59,0.09717548
Spon1,69,0.10603446
Spon1,79,0.111468464
Spon1,89,0.1168558
Stum,9,0.34384373
Stum,19,0.24247545
Stum,29,0.34020835
Stum,39,0.28699815
Stum,49,0.32584304
Tal2,9,0.09762776
Tal2,19,0.09520376
Tal2,29,0.10310163
Tal2,39,0.08320128
Tal2,49,0.087298
Tal2,59,0.094593965
Tal2,69,0.07982021
Tal2,79,0.07735627
Tal2,89,0.08808157
Tal2,99,0.082515396
Tal2,109,0.09275804
Tfap2c,9,0.111476995
Tfap2c,19,0.16222726
Tfap2c,29,0.09539853
Tfap2c,39,0.116578
Tfap2c,49,0.12065296
Tfap2c,59,0.0836232
Tfap2c,69,0.1268239
Tfap2c,79,0.08298373
Tfap2c,89,0.1278779
Tfap2c,99,0.11739185
Tfap2c,109,0.09724095
Tox2,9,0.08241352
